"","country.x","country_code","iso","designation","Country","country_emissions","global_emissions","emissions_share","readiness_2021","vulnerability_2021","gdp_reformed","gdp_2021","country.y","renewable_share_2020","env_exposure_2022","emissions_share_scaled","readiness_2021_scaled","vulnerability_2021_scaled","gdp_reformed_scaled","renewable_share_2020_scaled","env_exposure_2022_scaled"
"32","Slovak Republic","936","SVK","advanced_economy","Slovakia",3934.30281,1693867.357528,0.00232267467255621,0.509673666560524,0.350152529606127,139338350687.368,118656591909,"Slovak Rep.",0.237776544836674,3.3,0.00932456029310755,0.557223094301481,0.244181649931058,0.00405113274181935,0.762223455163326,0.395061728395062
"33","Slovenia","961","SVN","advanced_economy","Slovenia",864.57751,1693867.357528,0.000510416300401319,0.601436501748941,0.304455473631952,78632337083.3565,61748586535,"Slovenia, Rep. of",0.324742543903686,1.7,0.00204872018364154,0.694633399449335,0.138880914707961,0.00228578061862374,0.675257456096314,0.197530864197531
"34","Spain","184","ESP","advanced_economy","Spain",15100.2025,1693867.357528,0.00891463102638507,0.539452471862296,0.30023167251571,1783883834156.13,1427380681295,"Spain",0.431964592927957,3.4,0.0357898928174139,0.601815381746099,0.129147916520336,0.0518750910051815,0.568035407072043,0.407407407407407
"35","Sweden","144","SWE","advanced_economy","Sweden",5026.540331,1693867.357528,0.00296749347501191,0.724478883051999,0.295510178107956,891754697852.772,636856236396,"Sweden",0.684495797549944,1.5,0.0119133735541363,0.878883277150434,0.11826807269037,0.025931663469137,0.315504202450056,0.172839506172839
"36","Switzerland","146","CHE","advanced_economy","Switzerland",3059.691956,1693867.357528,0.0018063350370393,0.694441061791215,0.244185724140571,1200960233080.5,800640155387,"Switzerland",0.594567053338359,2,0.00725156414204884,0.833903126123648,0,0.0349234686579731,0.405432946661641,0.234567901234568
"37","Taiwan Province of China","528","TWN","advanced_economy","Taiwan",9319.122557,1693867.357528,0.00550168377446045,0.408639120435922,0.419955665541114,32117073474.5489,39725383601,"Taiwan Province of China",0.0482994095767086,3.45,0.0220876200683478,0.405928860803244,0.405030557549653,0.000933100472164803,0.951700590423291,0.41358024691358
"38","China","924","CHN","advanced_economy","China",249352.81766,1693867.357528,0.147209175825846,0.553517588282449,0.387026750359617,16333351875337.1,17820459342451,"China, P.R.: Mainland",0.276283859925948,7.4,0.591013701647615,0.622877197624662,0.329151731117811,0.474978714073066,0.723716140074052,0.901234567901235
"39","United Kingdom","112","GBR","advanced_economy","United Kingdom",78508.720102,1693867.357528,0.046348800425893,0.68502653368568,0.282711194291069,4134096636720.71,3122480345925,"United Kingdom",0.438513683723113,2.2,0.18608029034921,0.819805336128947,0.0887750916373154,0.120220101897064,0.561486316276887,0.259259259259259
"40","United States","111","USA","advanced_economy","USA",421906.855203,1693867.357528,0.249079039942492,0.65634729662513,0.309036598231197,34387511669917.8,23315080560000,"United States",0.194220296518904,6.3,1,0.776859597717464,0.149437301288351,1,0.805779703481096,0.765432098765432
"41","Albania","914","ALB","emerging_mkt","Albania",293.838988,1693867.357528,0.000173472253712253,0.410559121234659,0.395389598099211,14934462414.9161,17930565119,"Albania",1,4.3,0.000695959977252727,0.408803966995167,0.348422425843435,0.000433424128499193,0,0.518518518518519
"42","Algeria","612","DZA","emerging_mkt","Algeria",4862.566823,1693867.357528,0.00287068925520611,0.33334509314068,0.376271076043561,116708194306.248,163472233246,"Algeria",0.00907979387761642,2.8,0.0115247247631855,0.293179780576961,0.304367193270539,0.0033930398735204,0.990920206122384,0.333333333333333
"43","Angola","614","AGO","emerging_mkt","Angola",657.115491,1693867.357528,0.000387937985863889,0.268117798333208,0.509923734252675,32842717550,65685435100,"Angola",0.737266743522907,3.2,0.0015569952468757,0.195505134135836,0.612345965073574,0.00095420245586016,0.262733256477093,0.382716049382716
"44","Antigua and Barbuda","311","ATG","emerging_mkt","Antigua and Barbuda",22.002452,1693867.357528,1.29894775421554e-05,0.449260130429268,0.467364231303963,1486487347.96883,1560518519,"Antigua and Barbuda",0.0706048573514861,4.2,5.16550383557183e-05,0.466756813286826,0.514275162574577,4.23523066533883e-05,0.929395142648514,0.506172839506173
"45","Argentina","213","ARG","emerging_mkt","Argentina",8636.500123,1693867.357528,0.00509868738223042,0.376037316185072,0.383685633384464,489155976851.729,487227125386,"Argentina",0.287114707832322,4.2,0.0204696734446161,0.357109272118114,0.321452721489077,0.0142239517496499,0.712885292167678,0.506172839506173
"46","Armenia","911","ARM","emerging_mkt","Armenia",383.291252,1693867.357528,0.000226281739415162,0.50573276439272,0.368113524657492,11408622002.9004,13861409969,"Armenia, Rep. of",0.317096376679577,3.3,0.000907979069089297,0.551321788306261,0.285569567465964,0.000330891455245396,0.682903623320423,0.395061728395062
"47","Aruba","314","ABW","emerging_mkt","Aruba",76.865885,1693867.357528,4.53789280833516e-05,0.408639120435922,0.419955665541114,3940487935.76061,3126019385,"Aruba, Kingdom of the Netherlands",0.151088506082405,3.45,0.000181691939821918,0.405928860803244,0.405030557549653,0.000113715502666233,0.848911493917595,0.41358024691358
"48","Azerbaijan","912","AZE","emerging_mkt","Azerbaijan",2530.484041,1693867.357528,0.00149390920708983,0.447625682772037,0.381615391878636,45520865487.898,54825411765,"Azerbaijan, Rep. of",0.0546923073946074,3.6,0.00599723947195413,0.46430930879476,0.316682218269433,0.00132288743534755,0.945307692605393,0.432098765432099
"49","The Bahamas","313","BHS","emerging_mkt","Bahamas",171.632129,1693867.357528,0.000101325601581033,0.427831425066084,0.452384451790193,13269702136.819,11527600000,"Bahamas, The",0.00154165765799641,4.9,0.000406306187591464,0.434668387326222,0.479756925838029,0.0003850123169327,0.998458342342004,0.592592592592593
"50","Bahrain","419","BHR","emerging_mkt","Bahrain",972.274783,1693867.357528,0.000573997000815294,0.519334145918882,0.440279607371678,53632942088.772,39303403989,"Bahrain, Kingdom of",0.000331370446685291,0.1,0.00230398346031763,0.57168918412729,0.451863465529531,0.00155878946219275,0.999668629553315,0
"51","Barbados","316","BRB","emerging_mkt","Barbados",56.10958,1693867.357528,3.31251321129922e-05,0.53612684461446,0.386023528252068,3920696516.63076,4843800000,"Barbados",0.0556827093903552,2,0.000132495499852743,0.596835419498912,0.326839984260931,0.000113139961270782,0.944317290609645,0.234567901234568
"52","Belarus","913","BLR","emerging_mkt","Belarus",5007.976429,1693867.357528,0.00295653399703537,0.490112049917615,0.33224671441518,67344201366.0656,69673747132,"Belarus, Rep. of",0.0349434471308498,3,0.0118693735314764,0.527930541313463,0.202920884567066,0.00195751768102701,0.96505655286915,0.358024691358025
"53","Belize","339","BLZ","emerging_mkt","Belize",19.832843,1693867.357528,1.17086163281071e-05,0.333388191619152,0.455355433141867,1528798144.79543,2491500000,"Belize",0.927000408541047,6.6,4.651264721601e-05,0.293244318415902,0.486603023775764,4.35827194342233e-05,0.0729995914589532,0.802469135802469
